Round 0, Client 10: Sn=0.349, Ci=0.800, Phi=1.000, Rep=1.115
Round 0, Client 7: Sn=0.373, Ci=1.000, Phi=1.000, Rep=1.121
Round 0, Client 83: Sn=0.274, Ci=1.000, Phi=1.000, Rep=1.126
Round 0, Client 74: Sn=0.578, Ci=0.600, Phi=1.000, Rep=1.095
Round 0, Client 13: Sn=0.367, Ci=1.000, Phi=1.000, Rep=1.122
Round 0, Client 24: Sn=0.421, Ci=0.600, Phi=1.000, Rep=1.103
Round 0, Client 43: Sn=0.336, Ci=0.600, Phi=1.000, Rep=1.107
Round 0, Client 25: Sn=0.188, Ci=0.800, Phi=1.000, Rep=1.123
Round 0, Client 5: Sn=0.441, Ci=0.900, Phi=1.000, Rep=1.114
Round 0, Client 38: Sn=0.481, Ci=1.000, Phi=1.000, Rep=1.116
Round 0 Global Accuracy: 0.1000
Round 1, Client 86: Sn=0.650, Ci=1.000, Phi=0.057, Rep=1.013
Round 1, Client 25: Sn=0.504, Ci=0.800, Phi=0.035, Rep=1.133
Round 1, Client 20: Sn=0.675, Ci=1.000, Phi=0.047, Rep=1.011
Round 1, Client 65: Sn=0.813, Ci=0.600, Phi=0.063, Rep=0.990
Round 1, Client 49: Sn=0.412, Ci=0.700, Phi=0.051, Rep=1.013
Round 1, Client 63: Sn=0.488, Ci=0.600, Phi=0.060, Rep=1.006
Round 1, Client 27: Sn=0.703, Ci=1.000, Phi=0.053, Rep=1.010
Round 1, Client 61: Sn=0.376, Ci=0.800, Phi=0.043, Rep=1.018
Round 1, Client 53: Sn=0.625, Ci=0.700, Phi=0.064, Rep=1.003
Round 1, Client 26: Sn=0.423, Ci=1.000, Phi=0.049, Rep=1.024
Round 1 Global Accuracy: 0.1000
Round 2, Client 7: Sn=0.870, Ci=1.000, Phi=0.998, Rep=1.218
Round 2, Client 28: Sn=0.900, Ci=1.000, Phi=0.998, Rep=1.095
Round 2, Client 46: Sn=0.912, Ci=0.700, Phi=0.998, Rep=1.082
Round 2, Client 51: Sn=0.863, Ci=1.000, Phi=0.997, Rep=1.097
Round 2, Client 84: Sn=0.892, Ci=0.900, Phi=0.998, Rep=1.091
Round 2, Client 97: Sn=0.781, Ci=0.800, Phi=0.998, Rep=1.093
Round 2, Client 67: Sn=0.894, Ci=1.000, Phi=0.998, Rep=1.095
Round 2, Client 80: Sn=0.910, Ci=1.000, Phi=0.998, Rep=1.094
Round 2, Client 24: Sn=0.762, Ci=0.600, Phi=0.997, Rep=1.189
Round 2, Client 55: Sn=0.802, Ci=0.500, Phi=0.998, Rep=1.080
Round 2 Global Accuracy: 0.1000
Round 3, Client 28: Sn=0.900, Ci=1.000, Phi=1.000, Rep=1.190
Round 3, Client 60: Sn=0.948, Ci=0.900, Phi=1.000, Rep=1.089
Round 3, Client 73: Sn=0.869, Ci=0.700, Phi=1.000, Rep=1.085
Round 3, Client 5: Sn=0.921, Ci=0.900, Phi=1.000, Rep=1.204
Round 3, Client 1: Sn=0.778, Ci=0.900, Phi=1.000, Rep=1.097
Round 3, Client 25: Sn=0.894, Ci=0.800, Phi=1.000, Rep=1.220
Round 3, Client 75: Sn=0.873, Ci=1.000, Phi=1.000, Rep=1.096
Round 3, Client 55: Sn=0.826, Ci=0.500, Phi=1.000, Rep=1.158
Round 3, Client 56: Sn=0.947, Ci=1.000, Phi=1.000, Rep=1.093
Round 3, Client 15: Sn=0.937, Ci=1.000, Phi=1.000, Rep=1.093
Round 3 Global Accuracy: 0.1093
Round 4, Client 69: Sn=0.813, Ci=1.000, Phi=1.000, Rep=1.099
Round 4, Client 57: Sn=0.788, Ci=1.000, Phi=1.000, Rep=1.101
Round 4, Client 7: Sn=0.722, Ci=1.000, Phi=1.000, Rep=1.322
Round 4, Client 56: Sn=0.876, Ci=1.000, Phi=1.000, Rep=1.189
Round 4, Client 5: Sn=0.699, Ci=0.900, Phi=1.000, Rep=1.305
Round 4, Client 52: Sn=0.636, Ci=0.800, Phi=1.000, Rep=1.100
Round 4, Client 95: Sn=0.752, Ci=0.600, Phi=1.000, Rep=1.086
Round 4, Client 20: Sn=0.831, Ci=1.000, Phi=1.000, Rep=1.109
Round 4, Client 48: Sn=0.813, Ci=1.000, Phi=1.000, Rep=1.099
Round 4, Client 22: Sn=0.607, Ci=0.400, Phi=1.000, Rep=1.086
Round 4 Global Accuracy: 0.1822
Round 5, Client 38: Sn=0.744, Ci=1.000, Phi=1.000, Rep=1.219
Round 5, Client 8: Sn=0.889, Ci=1.000, Phi=1.000, Rep=1.096
Round 5, Client 89: Sn=0.611, Ci=0.800, Phi=1.000, Rep=1.101
Round 5, Client 97: Sn=0.783, Ci=0.800, Phi=1.000, Rep=1.186
Round 5, Client 87: Sn=0.624, Ci=0.800, Phi=1.000, Rep=1.101
Round 5, Client 67: Sn=0.694, Ci=1.000, Phi=1.000, Rep=1.200
Round 5, Client 83: Sn=0.728, Ci=1.000, Phi=1.000, Rep=1.230
Round 5, Client 40: Sn=0.793, Ci=0.400, Phi=1.000, Rep=1.076
Round 5, Client 60: Sn=0.790, Ci=0.900, Phi=1.000, Rep=1.185
Round 5, Client 31: Sn=0.685, Ci=0.400, Phi=1.000, Rep=1.082
Round 5 Global Accuracy: 0.1665
Round 6, Client 83: Sn=0.713, Ci=1.000, Phi=1.000, Rep=1.334
Round 6, Client 53: Sn=0.625, Ci=0.700, Phi=1.000, Rep=1.100
Round 6, Client 39: Sn=0.739, Ci=0.800, Phi=1.000, Rep=1.095
Round 6, Client 12: Sn=0.470, Ci=0.600, Phi=1.000, Rep=1.101
Round 6, Client 76: Sn=0.748, Ci=1.000, Phi=1.000, Rep=1.103
Round 6, Client 59: Sn=0.472, Ci=0.500, Phi=1.000, Rep=1.096
Round 6, Client 25: Sn=0.627, Ci=0.800, Phi=1.000, Rep=1.321
Round 6, Client 61: Sn=0.660, Ci=0.800, Phi=1.000, Rep=1.116
Round 6, Client 32: Sn=0.694, Ci=1.000, Phi=1.000, Rep=1.105
Round 6, Client 84: Sn=0.648, Ci=0.900, Phi=1.000, Rep=1.195
Round 6 Global Accuracy: 0.2027
Round 7, Client 75: Sn=0.794, Ci=1.000, Phi=1.000, Rep=1.197
Round 7, Client 66: Sn=0.653, Ci=0.900, Phi=1.000, Rep=1.103
Round 7, Client 30: Sn=0.815, Ci=1.000, Phi=1.000, Rep=1.099
Round 7, Client 79: Sn=0.604, Ci=0.500, Phi=1.000, Rep=1.090
Round 7, Client 54: Sn=0.419, Ci=0.700, Phi=1.000, Rep=1.107
Round 7, Client 0: Sn=0.776, Ci=1.000, Phi=1.000, Rep=1.101
Round 7, Client 59: Sn=0.543, Ci=0.500, Phi=1.000, Rep=1.189
Round 7, Client 34: Sn=0.739, Ci=0.600, Phi=1.000, Rep=1.087
Round 7, Client 64: Sn=0.519, Ci=0.900, Phi=1.000, Rep=1.110
Round 7, Client 1: Sn=0.777, Ci=0.900, Phi=1.000, Rep=1.194
Round 7 Global Accuracy: 0.2083
Round 8, Client 9: Sn=0.772, Ci=1.000, Phi=1.000, Rep=1.101
Round 8, Client 22: Sn=0.575, Ci=0.400, Phi=1.000, Rep=1.173
Round 8, Client 53: Sn=0.630, Ci=0.700, Phi=1.000, Rep=1.196
Round 8, Client 66: Sn=0.653, Ci=0.900, Phi=1.000, Rep=1.207
Round 8, Client 31: Sn=0.653, Ci=0.400, Phi=1.000, Rep=1.165
Round 8, Client 83: Sn=0.736, Ci=1.000, Phi=1.000, Rep=1.437
Round 8, Client 84: Sn=0.653, Ci=0.900, Phi=1.000, Rep=1.298
Round 8, Client 44: Sn=0.658, Ci=0.700, Phi=1.000, Rep=1.095
Round 8, Client 54: Sn=0.415, Ci=0.700, Phi=1.000, Rep=1.214
Round 8, Client 56: Sn=0.857, Ci=1.000, Phi=1.000, Rep=1.286
Round 8 Global Accuracy: 0.1732
